Image,Sunglasses
imagen_488.pgm,0
imagen_489.pgm,0
imagen_49.pgm,0
imagen_490.pgm,1
imagen_491.pgm,0
imagen_492.pgm,1
imagen_493.pgm,0
imagen_494.pgm,1
imagen_495.pgm,0
imagen_496.pgm,1
imagen_497.pgm,0
imagen_498.pgm,1
imagen_499.pgm,0
imagen_5.pgm,1
imagen_50.pgm,0
imagen_500.pgm,1
imagen_501.pgm,0
imagen_502.pgm,1
imagen_503.pgm,0
imagen_504.pgm,1
imagen_505.pgm,0
imagen_506.pgm,1
imagen_507.pgm,0
imagen_508.pgm,1
imagen_509.pgm,0
imagen_51.pgm,1
imagen_510.pgm,0
imagen_511.pgm,1
imagen_512.pgm,0
imagen_513.pgm,1
imagen_514.pgm,0
imagen_515.pgm,1
imagen_516.pgm,0
imagen_517.pgm,1
imagen_518.pgm,0
imagen_519.pgm,1
imagen_52.pgm,1
imagen_520.pgm,0
imagen_521.pgm,1
imagen_522.pgm,0
imagen_523.pgm,1
imagen_524.pgm,0
imagen_525.pgm,1
imagen_526.pgm,0
imagen_527.pgm,1
imagen_528.pgm,0
imagen_529.pgm,1
imagen_53.pgm,0
imagen_530.pgm,1
imagen_531.pgm,0
imagen_532.pgm,1
imagen_533.pgm,0
imagen_534.pgm,1
imagen_535.pgm,0
imagen_536.pgm,1
imagen_537.pgm,0
imagen_538.pgm,1
imagen_539.pgm,0
imagen_54.pgm,1
imagen_540.pgm,0
imagen_541.pgm,1
imagen_542.pgm,0
imagen_543.pgm,1
imagen_544.pgm,0
imagen_545.pgm,1
imagen_546.pgm,0
imagen_547.pgm,1
imagen_548.pgm,0
imagen_549.pgm,1
imagen_55.pgm,0
imagen_550.pgm,1
imagen_551.pgm,0
imagen_552.pgm,1
imagen_553.pgm,0
imagen_554.pgm,1
imagen_555.pgm,0
imagen_556.pgm,1
imagen_557.pgm,0
imagen_558.pgm,1
imagen_559.pgm,0
imagen_56.pgm,1
imagen_560.pgm,0
imagen_561.pgm,1
imagen_562.pgm,0
imagen_563.pgm,1
imagen_564.pgm,0
imagen_565.pgm,1
imagen_566.pgm,0
imagen_567.pgm,1
imagen_568.pgm,0
imagen_569.pgm,1
imagen_57.pgm,0
imagen_570.pgm,1
imagen_571.pgm,0
imagen_572.pgm,1
imagen_573.pgm,0
imagen_574.pgm,1
imagen_575.pgm,0
imagen_576.pgm,1
imagen_577.pgm,0
imagen_578.pgm,1
imagen_579.pgm,0
imagen_58.pgm,1
imagen_580.pgm,0
imagen_581.pgm,1
imagen_582.pgm,0
imagen_583.pgm,1
imagen_584.pgm,0
imagen_585.pgm,1
imagen_586.pgm,0
imagen_587.pgm,1
imagen_588.pgm,0
imagen_589.pgm,1
imagen_59.pgm,0
imagen_590.pgm,1
imagen_591.pgm,0
imagen_592.pgm,1
imagen_593.pgm,0
imagen_594.pgm,1
imagen_595.pgm,0
imagen_596.pgm,1
imagen_597.pgm,0
imagen_598.pgm,1
imagen_599.pgm,0
imagen_6.pgm,1
imagen_60.pgm,0
imagen_600.pgm,1
imagen_601.pgm,0
imagen_602.pgm,1
imagen_603.pgm,0
imagen_604.pgm,1
imagen_605.pgm,0
imagen_606.pgm,1
imagen_607.pgm,0
imagen_608.pgm,1
imagen_609.pgm,0
imagen_61.pgm,0
imagen_610.pgm,1
imagen_611.pgm,0
imagen_612.pgm,1
imagen_613.pgm,0
imagen_614.pgm,1
imagen_615.pgm,0
imagen_616.pgm,1
imagen_617.pgm,0
imagen_618.pgm,1
imagen_619.pgm,0
imagen_62.pgm,1
imagen_620.pgm,0
imagen_621.pgm,1
imagen_622.pgm,0
imagen_623.pgm,1
imagen_63.pgm,0
imagen_64.pgm,1
imagen_65.pgm,0
imagen_66.pgm,1
imagen_67.pgm,0
imagen_68.pgm,1
imagen_69.pgm,0
imagen_7.pgm,1
imagen_70.pgm,0
imagen_71.pgm,1
imagen_72.pgm,0
imagen_73.pgm,1
imagen_74.pgm,0
imagen_75.pgm,1
imagen_76.pgm,0
imagen_77.pgm,1
imagen_78.pgm,0
imagen_79.pgm,1
imagen_8.pgm,0
imagen_80.pgm,1
imagen_81.pgm,1
imagen_82.pgm,0
imagen_83.pgm,1
imagen_84.pgm,1
imagen_85.pgm,0
imagen_86.pgm,1
imagen_87.pgm,0
imagen_88.pgm,1
imagen_89.pgm,0
imagen_9.pgm,1
imagen_90.pgm,0
imagen_91.pgm,1
imagen_92.pgm,0
imagen_93.pgm,1
imagen_94.pgm,0
imagen_95.pgm,1
imagen_96.pgm,0
imagen_97.pgm,1
imagen_98.pgm,0
imagen_99.pgm,1
